tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,dog_stage,retweet_count,favorite_count,followers_count,confidence_level,breed
667470559035432960,2015-11-19 22:32:36,Twitter Web Client,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11.0,10,a,,85,220,220,30.417499999999997,toy_poodle
667491009379606528,2015-11-19 23:53:52,Twitter Web Client,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7.0,10,None,,186,447,447,85.2088,weasel
667495797102141441,2015-11-20 00:12:54,Twitter Web Client,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9.0,10,Philippe,,227,443,443,14.3957,ski_mask
667502640335572993,2015-11-20 00:40:05,Twitter Web Client,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11.0,10,Hall,,191,473,473,99.67089999999999,Labrador_retriever
667509364010450944,2015-11-20 01:06:48,Twitter Web Client,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,12.0,10,None,,1831,5864,5864,63.6169,beagle
667517642048163840,2015-11-20 01:39:42,Twitter Web Client,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8.0,10,Dook,,163,326,326,12.517600000000002,Italian_greyhound
667524857454854144,2015-11-20 02:08:22,Twitter Web Client,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12.0,10,None,,950,1465,1465,44.7893,Chesapeake_Bay_retriever
667530908589760512,2015-11-20 02:32:25,Twitter Web Client,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",10.0,10,Naphaniel,,204,403,403,63.3037,golden_retriever
667534815156183040,2015-11-20 02:47:56,Twitter Web Client,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8.0,10,Frank,,439,702,702,43.5254,Pembroke
667538891197542400,2015-11-20 03:04:08,Twitter Web Client,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9.0,10,a,,57,171,171,61.8957,Yorkshire_terrier
667544320556335104,2015-11-20 03:25:43,Twitter Web Client,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10.0,10,Kial,,449,745,745,41.289300000000004,Pomeranian
667546741521195010,2015-11-20 03:35:20,Twitter Web Client,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,9.0,10,George,,104,299,299,78.7424,toy_poodle
667728196545200128,2015-11-20 15:36:22,Twitter Web Client,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,11.0,10,Olive,,125,319,319,36.0159,kuvasz
667773195014021121,2015-11-20 18:35:10,Twitter Web Client,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,8.0,10,a,,44,199,199,36.046499999999995,West_Highland_white_terrier
667793409583771648,2015-11-20 19:55:30,Twitter for iPhone,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,8.0,10,None,,277,591,591,53.507299999999994,dalmatian
667801013445750784,2015-11-20 20:25:43,Twitter for iPhone,OMIGOD 12/10 https://t.co/SVMF4Frf1w,12.0,10,None,,80,276,276,50.8392,flat-coated_retriever
667806454573760512,2015-11-20 20:47:20,Twitter for iPhone,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,10.0,10,Filup,,411,906,906,25.3089,Chihuahua
667832474953625600,2015-11-20 22:30:44,Twitter for iPhone,"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7",12.0,10,None,,53,246,246,21.42,Chihuahua
667861340749471744,2015-11-21 00:25:26,Twitter for iPhone,This is a Shotokon Macadamia mix named Cheryl. Sophisticated af. Looks like a disappointed librarian. Shh (lol) 9/10 https://t.co/J4GnJ5Swba,9.0,10,a,,68,217,217,96.7275,malamute
667885044254572545,2015-11-21 01:59:37,Twitter for iPhone,Meet Stu. Stu has stacks on stacks and an eye made of pure gold. 10/10 pay for my tuition pls https://t.co/7rkYZQdKEd,10.0,10,Stu,,388,714,714,8.852970000000001,malamute
667886921285246976,2015-11-21 02:07:05,Twitter for iPhone,This is Erik. He's fucken massive. But also kind. Let's people hug him for free. Looks soft. 11/10 I would hug Erik https://t.co/MT7Q4aDQS1,11.0,10,Erik,,896,1616,1616,80.0432,Pomeranian
667902449697558528,2015-11-21 03:08:47,Twitter for iPhone,This is Cleopatricia. She is a northern Paperback Maple. Set up hammock somehow. 9/10 would chill in hammock with https://t.co/sJeHdGUt0W,9.0,10,Cleopatricia,,323,738,738,29.8881,Norwegian_elkhound
667915453470232577,2015-11-21 04:00:28,Twitter for iPhone,Meet Otis. He is a Peruvian Quartzite. Pic sponsored by Planters. Ears on point. Killer sunglasses. 10/10 ily Otis https://t.co/tIaaBIMlJN,10.0,10,Otis,,46,180,180,45.2517,boxer
667455448082227200,2015-11-19 21:32:34,Twitter Web Client,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7.0,10,Reese,,53,167,167,67.63759999999999,Tibetan_terrier
667453023279554560,2015-11-19 21:22:56,Twitter Web Client,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11.0,10,Cupcake,,69,277,277,82.56700000000001,Labrador_retriever
667435689202614272,2015-11-19 20:14:03,Twitter for iPhone,Ermergerd 12/10 https://t.co/PQni2sjPsm,12.0,10,None,,75,263,263,99.9091,Rottweiler
